RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
30,Harold Hamm & family,$25.2 B,78,Oklahoma,Oil & gas,1,ENERGY,"Oil & gas, Self Made",10,"Oklahoma City, Oklahoma",United States,Divorced,5,"Diploma, High School"
31,Lukas Walton,$24.2 B,37,Illinois,Walmart,1,FASHION & RETAIL,Walmart,1,"Chicago, Illinois",United States,Married,"Bachelor of Arts/Science, Colorado College",
32,"Thomas Frist, Jr. & family",$22.6 B,85,Tennessee,Hospitals,1,HEALTHCARE,"Hospitals, Self Made",7,"Nashville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University"
33,"John Menard, Jr.",$22.5 B,84,Wisconsin,Home improvement stores,1,FASHION & RETAIL,"Home improvement stores, Self Made",9,"Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire"
34,Daniel Gilbert,$21.3 B,62,Michigan,Quicken Loans,2,FINANCE & INVESTMENTS,"Quicken Loans, Self Made",8,"Franklin, Michigan",United States,Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University"
35,David Tepper,$20.6 B,66,Florida,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh"
36,Eric Schmidt,$20 B,69,California,Google,3,TECHNOLOGY,"Google, Self Made",6,"Atherton, California",United States,Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley"
37,Steve Cohen,$19.8 B,68,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"Greenwich, Connecticut",United States,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
38,Diane Hendricks,$19.3 B,77,Wisconsin,Building supplies,1,CONSTRUCTION & ENGINEERING,"Building supplies, Self Made",9,"Afton, Wisconsin",United States,Widowed,7,"Diploma, High School"
39,Donald Bren,$18 B,92,California,Real estate,4,REAL ESTATE,"Real estate, Self Made",8,"Newport Beach, California",United States,Married,7,"Bachelor of Arts/Science, University of Washington"
40,Rupert Murdoch & family,$17.4 B,93,New York,"Newspapers, TV network",1,MEDIA & ENTERTAINMENT,"Newspapers, TV network",5,"New York, New York",United States,Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University"
41,Rick Cohen & family,$16.2 B,72,New Hampshire,Warehouse automation,"Keene, New Hampshire",TECHNOLOGY,Warehouse automation,5,United States,Married,3,,
42,Ray Dalio,$15.4 B,74,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"Greenwich, Connecticut",United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University"
42,Leonard Lauder,$15.4 B,91,New York,Estee Lauder,3,FASHION & RETAIL,Estee Lauder,5,"New York, New York",United States,"Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania"
44,Jan Koum,$15.1 B,48,California,WhatsApp,2,TECHNOLOGY,"WhatsApp, Self Made",10,"Atherton, California",United States,Single,"Drop Out, San Jose State University",
45,Philip Anschutz,$14.8 B,84,Colorado,"Energy, sports, entertainment",3,FINANCE & INVESTMENTS,"Energy, sports, entertainment",5,"Denver, Colorado",United States,Married,3,"Bachelor of Arts/Science, University of Kansas"
45,Autry Stephens,$14.8 B,86,Texas,Oil,"Midland, Texas",ENERGY,"Oil, Self Made",9,United States,Married,2,"Master of Science, University of Texas, Austin",
47,Stanley Kroenke,$14.6 B,77,Texas,"Sports, real estate",1,SPORTS,"Sports, real estate, Self Made",7,"Electra, Texas",United States,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri"
48,Jerry Jones,$14.5 B,81,Texas,Dallas Cowboys,1,SPORTS,"Dallas Cowboys, Self Made",8,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas"
49,George Kaiser,$14.1 B,82,Oklahoma,"Oil & gas, banking",4,ENERGY,"Oil & gas, banking",5,"Tulsa, Oklahoma",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
50,Andrew Beal,$13.8 B,71,Texas,"Banks, real estate",1,FINANCE & INVESTMENTS,"Banks, real estate, Self Made",8,"Dallas, Texas",United States,Divorced,6,"Drop Out, Baylor University"
51,David Duffield,$13.7 B,83,Nevada,Business software,3,TECHNOLOGY,"Business software, Self Made",8,"Incline Village, Nevada",United States,Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
51,David Green & family,$13.7 B,82,Oklahoma,Retail,2,FASHION & RETAIL,"Retail, Self Made",10,"Oklahoma City, Oklahoma",United States,Married,3,"Diploma, High School"
51,Jeffery Hildebrand,$13.7 B,65,Texas,Oil,2,ENERGY,"Oil, Self Made",8,"Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin"
54,Laurene Powell Jobs & family,$13.4 B,60,California,"Apple, Disney",2,TECHNOLOGY,"Apple, Disney",2,"Palo Alto, California",United States,Widowed,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
55,Shahid Khan,$12.2 B,74,Florida,Auto parts,1,AUTOMOTIVE,"Auto parts, Self Made",10,"Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
55,Dustin Moskovitz,$12.2 B,40,California,Facebook,4,TECHNOLOGY,"Facebook, Self Made",8,"San Francisco, California",United States,Married,"Drop Out, Harvard University",
57,Leon Black,$12 B,73,New York,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University"
58,Israel Englander,$11.8 B,75,New York,Hedge funds,1,FINANCE & INVESTMENTS,"Hedge funds, Self Made",9,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, New York University"
58,Christy Walton,$11.8 B,75,Wyoming,Walmart,1,FASHION & RETAIL,Walmart,1,"Jackson, Wyoming",United States,Widowed,1,"High School Graduate, High School"
60,Donald Newhouse,$11.6 B,94,New York,Media,2,MEDIA & ENTERTAINMENT,Media,5,"New York, New York",United States,Widowed,3,"Drop Out, Syracuse University"
61,Michael Rubin,$11.5 B,52,Pennsylvania,Online retail,1,FASHION & RETAIL,"Online retail, Self Made",8,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University"
62,Robert Kraft,$11.1 B,83,Massachusetts,"Manufacturing, New England Patriots",3,SPORTS,"Manufacturing, New England Patriots, Self Made",8,"Brookline, Massachusetts",United States,"Widowed, Remarried",4,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard Business School"
63,John Doerr,$10.7 B,73,California,Venture capital,2,TECHNOLOGY,"Venture capital, Self Made",8,"Woodside, California",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University"
