RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
123,Robert Rowling,$7.5 B,70,Texas,"Hotels, investments",2,SERVICE,"Hotels, investments",5,"Dallas, Texas",United States,Married,2,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin"
128,Dannine Avara,$7.4 B,60,Texas,Pipelines,1,ENERGY,Pipelines,1,"Houston, Texas",United States,Married,,
128,Scott Duncan,$7.4 B,41,Texas,Pipelines,1,ENERGY,Pipelines,1,"Houston, Texas",United States,Single,Houston Community College,
128,Judy Faulkner,$7.4 B,81,Wisconsin,Healthcare software,2,TECHNOLOGY,"Healthcare software, Self Made",8,"Madison, Wisconsin",United States,Married,3,"Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin"
128,Milane Frantz,$7.4 B,54,Texas,Pipelines,1,ENERGY,Pipelines,1,"Houston, Texas",United States,Married,"Master of Arts, University of Houston",
128,Don Hankey,$7.4 B,81,California,Auto loans,1,FINANCE & INVESTMENTS,"Auto loans, Self Made",7,"Malibu, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California"
128,Ken Langone,$7.4 B,88,New York,Investments,3,FINANCE & INVESTMENTS,"Investments, Self Made",9,"Sands Point, New York",United States,Married,3,"Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business"
128,"Edward Roski, Jr.",$7.4 B,85,California,Real estate,1,REAL ESTATE,Real estate,5,"Los Angeles, California",United States,Widowed,3,"Bachelor of Arts/Science, University of Southern California"
128,Ronda Stryker,$7.4 B,70,Michigan,Medical equipment,3,HEALTHCARE,Medical equipment,2,"Portage, Michigan",United States,Married,3,"Bachelor of Arts/Science, University of Northern Colorado; Master of Arts, Western Michigan University"
128,Randa Duncan Williams,$7.4 B,62,Texas,Pipelines,1,ENERGY,Pipelines,3,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston"
137,Arthur Dantchik,$7.3 B,66,Pennsylvania,"Trading, investments",2,FINANCE & INVESTMENTS,"Trading, investments, Self Made",8,"Gladwyne, Pennsylvania",United States,Single,"Bachelor of Science, SUNY Binghamton",
137,John Overdeck,$7.3 B,54,New Jersey,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"Millburn, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University"
137,David Siegel,$7.3 B,63,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"Scarsdale, New York",United States,Married,"Ph.D, Massachusetts Institute of Technology; Bachelor of Arts/Science, Princeton University",
140,Bert Beveridge,$7.2 B,62,Texas,Vodka,1,FOOD & BEVERAGE,"Vodka, Self Made",8,"Austin, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Texas at Austin"
140,Stephen Bisciotti,$7.2 B,64,Florida,"Staffing, Baltimore Ravens",2,SPORTS,"Staffing, Baltimore Ravens, Self Made",8,"Hobe Sound, Florida",United States,Married,2,"Bachelor of Arts/Science, Salisbury State University"
140,Ray Lee Hunt,$7.2 B,81,Texas,"Oil, real estate",2,ENERGY,"Oil, real estate",5,"Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Southern Methodist University"
140,"Robert Rich, Jr.",$7.2 B,83,Florida,Frozen foods,1,FOOD & BEVERAGE,Frozen foods,5,"Islamorada, Florida",United States,Married,4,"Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College"
144,Ken Fisher,$7.1 B,73,Texas,Money management,1,FINANCE & INVESTMENTS,"Money management, Self Made",8,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Humboldt State University"
145,Edythe Broad & family,$7 B,88,California,"Homebuilding, insurance",5,DIVERSIFIED,"Homebuilding, insurance",1,"Los Angeles, California",United States,Widowed,2,
145,Dennis Washington,$7 B,90,Montana,"Construction, mining",3,LOGISTICS,"Construction, mining, Self Made",10,"Missoula, Montana",United States,Married,2,"Diploma, High School"
147,Micky Arison,$6.9 B,75,Florida,Carnival Cruises,2,SERVICE,Carnival Cruises,5,"Bal Harbour, Florida",United States,Married,2,"Drop Out, University of Miami"
147,"Ernest Garcia, II.",$6.9 B,67,Arizona,Used cars,1,AUTOMOTIVE,"Used cars, Self Made",9,"Tempe, Arizona",United States,Married,"Drop Out, University of Arizona",
147,Josh Harris,$6.9 B,59,Florida,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Miami, Florida",United States,Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
147,Carl Icahn,$6.9 B,88,Florida,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",9,"Indian Creek, Florida",United States,Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University"
147,Leo Koguan,$6.9 B,69,,IT provider,2,TECHNOLOGY,"IT provider, Self Made",8,"Singapore, Singapore",United States,Divorced,1,"Master, Columbia University; Law Degree, New York Law School"
147,Douglas Leone,$6.9 B,67,California,Venture capital,2,FINANCE & INVESTMENTS,"Venture capital, Self Made",9,"Atherton, California",United States,Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management"
153,Jonathan Gray,$6.8 B,54,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",6,"New York, New York",United States,Married,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",
153,Terrence Pegula,$6.8 B,73,Florida,Natural gas,2,ENERGY,"Natural gas, Self Made",9,"Boca Raton, Florida",United States,Married,5,"Bachelor of Science in Engineering, Pennsylvania State University"
153,Reinhold Schmieding,$6.8 B,69,Florida,Medical devices,"Naples, Florida",HEALTHCARE,"Medical devices, Self Made",8,United States,Married,2,"Bachelor of Arts/Science, Michigan State University",
156,Mat Ishbia,$6.7 B,44,Michigan,Mortgage lender,1,FINANCE & INVESTMENTS,Mortgage lender,5,"Bloomfield Hills, Michigan",United States,Divorced,3,"Bachelor of Business Administration, Michigan State University"
156,Jim Kennedy,$6.7 B,76,Georgia,"Media, automotive",3,MEDIA & ENTERTAINMENT,"Media, automotive",4,"Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, University of Denver"
156,Blair Parry-Okeden,$6.7 B,74,,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",1,"New South Wales, Australia",United States,Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver"
156,Lynsi Snyder,$6.7 B,42,California,In-N-Out Burger,2,FOOD & BEVERAGE,In-N-Out Burger,3,"Glendora, California",United States,Married,,
156,George Soros,$6.7 B,93,New York,Hedge funds,5,FINANCE & INVESTMENTS,"Hedge funds, Self Made",10,"Katonah, New York",United States,Married,5,"Bachelor of Arts/Science, London School of Economics"
161,Vinod Khosla,$6.5 B,69,California,Venture capital,2,TECHNOLOGY,"Sun Microsystems, venture capital, Self Made",8,"Portola Valley, California",United States,Married,4,"Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology; Master of Business Administration, Stanford Graduate School of Business"
161,Annette Lerner & family,$6.5 B,94,Maryland,Real estate,1,REAL ESTATE,Real estate,1,"Chevy Chase, Maryland",United States,Widowed,3,
161,Michael Milken,$6.5 B,78,California,Investments,3,FINANCE & INVESTMENTS,"Investments, Self Made",8,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School"
164,Li Ge,$6.4 B,57,,Pharmaceutical ingredients,"Shanghai, China",HEALTHCARE,"Pharmaceutical ingredients, Self Made",8,United States,Widowed,"Ph.D, Columbia University",,
164,Pierre Omidyar,$6.4 B,57,Hawaii,"EBay, PayPal",5,TECHNOLOGY,"EBay, PayPal, Self Made",8,"Honolulu, Hawaii",United States,Married,3,"Bachelor of Arts/Science, Tufts University"
164,Charles Simonyi,$6.4 B,75,Washington,Microsoft,2,TECHNOLOGY,"Microsoft, Self Made",6,"Medina, Washington",United States,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley"
167,Neil Bluhm,$6.3 B,86,Illinois,Real estate,2,REAL ESTATE,"Real estate, Self Made",10,"Chicago, Illinois",United States,Divorced,3,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
167,Don Vultaggio & family,$6.3 B,72,New York,Beverages,1,FOOD & BEVERAGE,"Beverages, Self Made",10,"Port Washington, New York",United States,Married,2,"High School Graduate, High School"
169,John Brown,$6.2 B,89,Georgia,Medical equipment,2,HEALTHCARE,"Medical equipment, Self Made",6,"Atlanta, Georgia",United States,Married,2,"Bachelor of Science in Engineering, Auburn University"
169,Stanley Druckenmiller,$6.2 B,71,New York,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"New York, New York",United States,Married,"Bachelor of Arts/Science, Bowdoin College",
169,Daniel Ziff,$6.2 B,52,New York,Investments,1,FINANCE & INVESTMENTS,Investments,4,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Columbia University"
169,Dirk Ziff,$6.2 B,60,Florida,Investments,1,FINANCE & INVESTMENTS,Investments,4,"North Palm Beach, Florida",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University"
169,Robert Ziff,$6.2 B,57,New York,Investments,1,FINANCE & INVESTMENTS,Investments,4,"New York, New York",United States,Married,2,"Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University"
174,Philippe Laffont,$6.1 B,56,New York,Hedge fund,1,FINANCE & INVESTMENTS,"Hedge fund, Self Made",8,"New York, New York",United States,Married,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",
174,Paul Singer,$6.1 B,79,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"New York, New York",United States,In Relationship,2,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester"
176,Todd Boehly,$6 B,50,Connecticut,Finance,"Darien, Connecticut",FINANCE & INVESTMENTS,"Finance, Self Made",7,United States,Married,3,"Bachelor of Business Administration, College of William & Mary",
176,William Goldring & family,$6 B,81,Louisiana,alcohol,"New Orleans, Louisiana",FOOD & BEVERAGE,Liquor,5,United States,3,"Master of Arts, Tulane University",,
176,Karen Pritzker,$6 B,66,Connecticut,"Hotels, investments",2,FINANCE & INVESTMENTS,"Hotels, investments",3,"Branford, Connecticut",United States,Widowed,4,"Bachelor of Arts/Science, Northwestern University"
176,Les Wexner & family,$6 B,86,Ohio,Retail,3,FASHION & RETAIL,"Retail, Self Made",8,"New Albany, Ohio",United States,Married,4,"Bachelor of Arts/Science, Ohio State University"
180,John A. Sobrato & family,$5.9 B,85,California,Real estate,4,REAL ESTATE,"Real estate, Self Made",7,"Atherton, California",United States,Married,3,"Bachelor of Arts/Science, Santa Clara University"
180,Peter Thiel,$5.9 B,56,California,"Facebook, investments",2,FINANCE & INVESTMENTS,"Facebook, investments, Self Made",8,"Los Angeles, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University; Doctor of Jurisprudence, Stanford University"
182,Robert Faith,$5.8 B,60,South Carolina,Real estate management,1,REAL ESTATE,"Real estate management, Self Made",8,"Charleston, South Carolina",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Science, University of Oklahoma"
182,Denise York & family,$5.8 B,73,Ohio,San Francisco 49ers,1,SPORTS,San Francisco 49ers,3,"Youngstown, Ohio",United States,Married,4,
184,David Bonderman,$5.7 B,81,Texas,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",7,"Fort Worth, Texas",United States,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington"
184,"Chase Coleman, III.",$5.7 B,49,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",7,"New York, New York",United States,Married,"Bachelor of Arts/Science, Williams College",
184,Dan Friedkin,$5.7 B,59,Texas,Toyota dealerships,3,AUTOMOTIVE,Toyota dealerships,4,"Houston, Texas",United States,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University"
184,Bill Haslam,$5.7 B,65,Tennessee,Gas stations,1,FASHION & RETAIL,Gas stations,3,"Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Emory University"
184,Marc Rowan,$5.7 B,61,New York,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"New York, New York",United States,Married,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",
184,Fred Smith,$5.7 B,79,Tennessee,FedEx,1,LOGISTICS,"FedEx, Self Made",7,"Memphis, Tennessee",United States,Married,10,"Bachelor of Arts/Science, Yale University"
184,Mark Walter,$5.7 B,64,Illinois,"Finance, asset management",2,FINANCE & INVESTMENTS,"Finance, asset management, Self Made",8,"Chicago, Illinois",United States,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University"
184,Ty Warner,$5.7 B,79,Illinois,"Plush toys, real estate",2,REAL ESTATE,"Plush toys, real estate, Self Made",10,"Oak Brook, Illinois",United States,Single,"Drop Out, Kalamazoo College",
192,Scott Cook,$5.6 B,72,California,Software,3,TECHNOLOGY,"Software, Self Made",8,"Woodside, California",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California"
192,Tom Golisano,$5.6 B,82,Florida,Payroll services,2,SERVICE,"Payroll services, Self Made",9,"Naples, Florida",United States,Married,2,"Associate in Arts/Science, SUNY Tech Alfred"
192,Joe Mansueto,$5.6 B,67,Illinois,Investment research,2,FINANCE & INVESTMENTS,"Investment research, Self Made",8,"Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Chicago"
192,Janice McNair,$5.6 B,87,Texas,"Energy, sports",2,SPORTS,"Energy, sports",2,"Houston, Texas",United States,Widowed,4,"Bachelor of Arts/Science, Columbia College"
192,Thomas Pritzker,$5.6 B,74,Illinois,"Hotels, investments",2,FINANCE & INVESTMENTS,"Hotels, investments",4,"Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago"
192,Lynda Resnick,$5.6 B,81,California,Agriculture,3,FOOD & BEVERAGE,"Agriculture, Self Made",8,"Beverly Hills, California",United States,Married,5,
192,Stewart Resnick,$5.6 B,87,California,Agriculture,3,FOOD & BEVERAGE,"Agriculture, Self Made",8,"Beverly Hills, California",United States,Married,5,
192,Gary Rollins,$5.6 B,79,Georgia,Pest control,2,SERVICE,Pest control,3,"Atlanta, Georgia",United States,Divorced,4,"Bachelor of Arts/Science, University of Tennessee Chattanooga"
192,Kelcy Warren,$5.6 B,68,Texas,Pipelines,2,ENERGY,"Pipelines, Self Made",9,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington"
201,Gwendolyn Sontheim Meyer,$5.5 B,62,California,Cargill,1,FOOD & BEVERAGE,Cargill,1,"Rancho Santa Fe, California",United States,Divorced,2,
201,Mark Stevens,$5.5 B,64,Colorado,Venture capital,2,FINANCE & INVESTMENTS,"Venture capital, Self Made",9,"Steamboat Springs, Colorado",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California"
203,"Robert Hale, Jr.",$5.4 B,58,Massachusetts,Telecom,3,TELECOM,"Telecom, Self Made",8,"Boston, Massachusetts",United States,Married,"Bachelor of Arts/Science, Connecticut College",
204,Robert Bass,$5.3 B,76,Texas,"Oil, investments",2,ENERGY,"Oil, investments",4,"Fort Worth, Texas",United States,Married,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
204,Gayle Benson,$5.3 B,77,Louisiana,New Orleans Saints,2,SPORTS,New Orleans Saints,1,"New Orleans, Louisiana",United States,Widowed,"High School Graduate, High School",
204,Rick Caruso,$5.3 B,65,California,Real estate,2,REAL ESTATE,"Real estate, Self Made",7,"Los Angeles, California",United States,Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California"
204,Thai Lee,$5.3 B,65,Texas,IT provider,1,TECHNOLOGY,"IT provider, Self Made",9,"Austin, Texas",United States,Divorced,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School"
204,Doug Meijer & family,$5.3 B,70,Michigan,Supermarkets,2,FASHION & RETAIL,Supermarkets,3,"Grand Rapids, Michigan",United States,Divorced,1,
204,Hank Meijer & family,$5.3 B,72,Michigan,Supermarkets,2,FASHION & RETAIL,Supermarkets,3,"Grand Rapids, Michigan",United States,Married,3,
204,Mark Meijer & family,$5.3 B,66,Michigan,Supermarkets,2,FASHION & RETAIL,Supermarkets,3,"Grand Rapids, Michigan",United States,,,
211,Mark Cuban,$5.2 B,66,Texas,"Online media, Dallas Mavericks",1,MEDIA & ENTERTAINMENT,"Online media, Dallas Mavericks, Self Made",8,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Indiana University"
211,Dagmar Dolby & family,$5.2 B,83,California,Dolby Laboratories,3,TECHNOLOGY,Dolby Laboratories,1,"San Francisco, California",United States,Widowed,2,"Bachelor of Arts/Science, Heidelberg University"
211,Archie Aldis Emmerson & family,$5.2 B,95,California,"Timberland, lumber mills",2,MANUFACTURING,"Timberland, lumber mills, Self Made",9,"Redding, California",United States,Married,3,"Diploma, High School"
211,Thomas Hagen,$5.2 B,88,Pennsylvania,Insurance,2,FINANCE & INVESTMENTS,Insurance,2,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University"
215,Ron Baron,$5.1 B,81,New York,Money management,1,FINANCE & INVESTMENTS,"Money management, Self Made",8,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Bucknell University"
215,Jim Davis & family,$5.1 B,81,Massachusetts,New Balance,2,MANUFACTURING,"New Balance, Self Made",8,"Newton, Massachusetts",United States,Married,2,"Bachelor of Arts/Science, Middlebury College"
215,John Henry,$5.1 B,74,Florida,Sports,1,SPORTS,"Sports, Self Made",7,"Boca Raton, Florida",United States,Married,2,
215,Charles B. Johnson,$5.1 B,91,Florida,Franklin Templeton,3,FINANCE & INVESTMENTS,Franklin Templeton,5,"Palm Beach, Florida",United States,Married,6,"Bachelor of Arts/Science, Yale University"
215,Joseph Liemandt,$5.1 B,55,Texas,Software,"Austin, Texas",TECHNOLOGY,"Software, Self Made",7,United States,Single,"Drop Out, Stanford University",,
215,Sami Mnaymneh,$5.1 B,63,Florida,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Miami Beach, Florida",United States,"Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University",,
215,Michael Moritz,$5.1 B,69,California,Venture capital,4,TECHNOLOGY,"Venture capital, Self Made",8,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, University of Pennsylvania, The Wharton School"
215,Tony Tamer,$5.1 B,66,New York,Private equity,"New York, New York",FINANCE & INVESTMENTS,"Private equity, Self Made",8,United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Rutgers University; Master of Science in Engineering, Stanford University",
215,Romesh T. Wadhwani,$5.1 B,76,California,Software,2,TECHNOLOGY,"Software, Self Made",8,"Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay"
224,"Austen Cargill, II.",$5 B,73,Montana,Cargill,1,FOOD & BEVERAGE,Cargill,1,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota"
224,"James Cargill, II.",$5 B,75,Wisconsin,Cargill,1,FOOD & BEVERAGE,Cargill,1,"Birchwood, Wisconsin",United States,Married,2,
224,Marianne Liebmann,$5 B,71,Montana,Cargill,1,FOOD & BEVERAGE,Cargill,1,"Bozeman, Montana",United States,Married,2,"Bachelor of Arts/Science, Montana State University"
227,Margot Birmingham Perot,$4.9 B,90,Texas,"Computer services, real estate",2,TECHNOLOGY,"Computer services, real estate",1,"Dallas, Texas",United States,Widowed,5,"Bachelor of Arts/Science, Goucher College"
227,W. Herbert Hunt,$4.9 B,Oil,Texas,Oil,United States,ENERGY,4,1,5,"Bachelor of Arts/Science, Washington & Lee University",,,
227,Helen Johnson-Leipold,$4.9 B,67,Wisconsin,Cleaning products,2,MANUFACTURING,Cleaning products,3,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University"
227,Dan Kurzius,$4.9 B,52,Georgia,Email marketing,"Atlanta, Georgia",TECHNOLOGY,"Email marketing, Self Made",9,United States,Married,2,"High School Graduate, High School",
227,George Lucas,$4.9 B,80,California,Star Wars,4,MEDIA & ENTERTAINMENT,"Star Wars, Self Made",8,"San Anselmo, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California"
227,Trevor Rees-Jones,$4.9 B,72,Texas,Oil & gas,4,ENERGY,"Oil & gas, Self Made",7,"Dallas, Texas",United States,Married,2,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University"
227,Thomas Secunda,$4.9 B,70,New York,Bloomberg LP,2,FINANCE & INVESTMENTS,"Bloomberg LP, Self Made",8,"Croton-on-Hudson, New York",United States,Married,2,"Bachelor of Arts/Science, SUNY Binghamton"
227,Patrick Soon-Shiong,$4.9 B,72,California,Pharmaceuticals,2,HEALTHCARE,"Pharmaceuticals, Self Made",9,"Los Angeles, California",United States,Married,2,"Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand"
227,Elizabeth Uihlein,$4.9 B,79,Illinois,Packaging materials,2,MANUFACTURING,"Packaging materials, Self Made",7,"Lake Forest, Illinois",United States,Married,3,
227,Richard Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING,"Packaging materials, Self Made",7,"Lake Forest, Illinois",United States,Married,3,"Bachelor of Arts/Science, Stanford University"
227,Ronald Wanek,$4.9 B,83,Florida,Furniture,2,MANUFACTURING,"Furniture, Self Made",9,"Saint Petersburg, Florida",United States,Married,3,"High School Graduate, High School"
238,H. Fisk Johnson,$4.8 B,66,Wisconsin,Cleaning products,2,MANUFACTURING,Cleaning products,3,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
238,S. Curtis Johnson,$4.8 B,69,Wisconsin,Cleaning products,2,MANUFACTURING,Cleaning products,1,"Racine, Wisconsin",United States,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management"
238,Winifred J. Marquart,$4.8 B,65,Virginia,Cleaning products,2,MANUFACTURING,Cleaning products,2,"Virginia Beach, Virginia",United States,Married,4,"Drop Out, Cornell University"
238,Arturo Moreno,$4.8 B,77,Arizona,"Billboards, Los Angeles Angels",2,SPORTS,"Billboards, Los Angeles Angels, Self Made",8,"Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona"
238,Steven Spielberg,$4.8 B,77,California,Movies,3,MEDIA & ENTERTAINMENT,"Movies, Self Made",8,"Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach"
238,Russ Weiner,$4.8 B,54,Florida,Energy drinks,1,FOOD & BEVERAGE,"Energy drinks, Self Made",8,"Delray Beach, Florida",United States,Single,"Bachelor of Arts/Science, San Diego State University",
244,Charles Dolan & family,$4.7 B,97,New York,Cable television,2,MEDIA & ENTERTAINMENT,"Cable television, Self Made",9,"Oyster Bay, New York",United States,Widowed,6,"Drop Out, John Carroll University"
244,Jim Kavanaugh,$4.7 B,61,Missouri,IT provider,1,TECHNOLOGY,"IT provider, Self Made",9,"St. Louis, Missouri",United States,"Bachelor of Arts/Science, St. Louis University",,
244,Ronald Lauder,$4.7 B,80,New York,Estee Lauder,3,FASHION & RETAIL,Estee Lauder,5,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
244,Mitchell Rales,$4.7 B,67,Maryland,"Manufacturing, investments",2,MANUFACTURING,"Manufacturing, investments, Self Made",7,"Potomac, Maryland",United States,Married,2,"Bachelor of Arts/Science, Miami University of Ohio"
244,Jon Stryker,$4.7 B,66,New York,Medical equipment,4,HEALTHCARE,Medical equipment,1,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Kalamazoo College; Master of Architecture, University of California, Berkeley"
249,Ben Chestnut,$4.6 B,50,Georgia,Email marketing,1,TECHNOLOGY,"Email marketing, Self Made",8,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Institute of Technology"
249,Rakesh Gangwal,$4.6 B,71,Florida,Airline,"Miami, Florida",SERVICE,"Airline, Self Made",8,United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",
249,Jeff T. Green,$4.6 B,47,California,Digital advertising,1,MEDIA & ENTERTAINMENT,"Digital advertising, Self Made",8,"Newbury Park, California",United States,David Falk,FAME,"Bachelor of Arts/Science, University of Southern California"
249,Donald Horton & family,$4.6 B,"Homebuilding, Self Made",Texas,Homebuilding,United States,REAL ESTATE,8,1,2,"Bachelor of Arts/Science, University of Central Arkansas",,,
249,Johnelle Hunt,$4.6 B,92,Arkansas,Trucking,2,LOGISTICS,"Trucking, Self Made",7,"Fayetteville, Arkansas",United States,Widowed,2,"Drop Out, University of Central Arkansas"
249,Jeffrey Lurie & family,$4.6 B,72,Pennsylvania,Philadelphia Eagles,2,SPORTS,Philadelphia Eagles,4,"Wynnewood, Pennsylvania",United States,Married,2,"Doctorate, Brandeis University; Bachelor of Arts/Science, Clark University"
249,Mark Shoen,$4.6 B,73,Arizona,U-Haul,"Phoenix, Arizona",AUTOMOTIVE,U-Haul,5,United States,Married,1,"Bachelor of Arts/Science, College of the Holy Cross",
249,Herbert Wertheim,$4.6 B,85,Florida,Investments,1,FINANCE & INVESTMENTS,"Investments, Self Made",10,"Coral Gables, Florida",United States,Married,2,"Associate in Arts/Science, Brevard Community College; Bachelor of Arts/Science, Southern College of Optometry; Doctorate, Southern College of Optometry"
249,Ken Xie,$4.6 B,61,California,Cybersecurity,1,TECHNOLOGY,"Cybersecurity, Self Made",8,"Los Altos Hills, California",United States,Married,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University",
258,James Chambers,$4.5 B,67,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",1,"Palisades, New York",United States,Married,2,"Bachelor of Arts/Science, Bard College"
258,Min Kao & family,$4.5 B,75,Kansas,Navigation equipment,2,TECHNOLOGY,"Navigation equipment, Self Made",8,"Leawood, Kansas",United States,Married,2,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville"
258,Lin Bin,$4.5 B,56,,Smartphones,"Beijing, China",TECHNOLOGY,"Smartphones, Self Made",8,United States,Married,"Master, Drexel University; Bachelor of Arts/Science, Sun Yat-sen University",,
258,Katharine Rayner,$4.5 B,79,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,"Media, automotive",1,"East Hampton, New York",United States,Widowed,"Bachelor of Arts/Science, Sarah Lawrence college",
