RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
121,Charles Butt,$7.6 B,85,Texas,Supermarkets,4,FASHION & RETAIL,5,Supermarkets,"San Antonio, Texas",United States,Single,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",86,4,,,,
121,David Steward,$7.6 B,72,Missouri,IT provider,2,TECHNOLOGY,10,"IT provider, Self Made","St. Louis, Missouri",United States,Married,,"Bachelor of Arts/Science, Central Missouri State University",73,2,,,,
123,Jeff Greene,$7.5 B,68,Florida,"Real estate, investments",1,REAL ESTATE,10,"Real estate, investments, Self Made","Palm Beach, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University",69,1,,,,
123,Tamara Gustavson,$7.5 B,61,Kentucky,Self storage,1,SERVICE,2,Self storage,"Lexington, Kentucky",United States,Married,2,"Bachelor of Arts/Science, University of Southern California",62,1,,,,
123,Richard Kinder,$7.5 B,78,Texas,Pipelines,3,ENERGY,8,"Pipelines, Self Made","Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri",79,3,,,,
123,Ralph Lauren,$7.5 B,83,New York,Apparel,1,FASHION & RETAIL,9,"Apparel, Self Made","New York, New York",United States,Married,3,"Drop Out, City University of New York City College; Diploma, High School",84,1,,,,
123,Robert Rowling,$7.5 B,70,Texas,"Hotels, investments",2,SERVICE,5,"Hotels, investments","Dallas, Texas",United States,Married,2,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",70,2,,,,
128,Dannine Avara,$7.4 B,59,Texas,Pipelines,1,ENERGY,1,Pipelines,"Houston, Texas",United States,Married,,,60,1,,,,
128,Scott Duncan,$7.4 B,40,Texas,Pipelines,1,ENERGY,1,Pipelines,"Houston, Texas",United States,Single,,Houston Community College,41,1,,,,
128,Judy Faulkner,$7.4 B,80,Wisconsin,Healthcare software,2,TECHNOLOGY,8,"Healthcare software, Self Made","Madison, Wisconsin",United States,Married,3,"Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin",81,2,,,,
128,Milane Frantz,$7.4 B,54,Texas,Pipelines,1,ENERGY,1,Pipelines,"Houston, Texas",United States,Married,,"Master of Arts, University of Houston",54,1,,,,
128,Don Hankey,$7.4 B,80,California,Auto loans,1,FINANCE & INVESTMENTS,7,"Auto loans, Self Made","Malibu, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California",81,1,,,,
128,Ken Langone,$7.4 B,88,New York,Investments,3,FINANCE & INVESTMENTS,9,"Investments, Self Made","Sands Point, New York",United States,Married,3,"Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business",88,3,,,,
128,"Edward Roski, Jr.",$7.4 B,84,California,Real estate,1,REAL ESTATE,5,Real estate,"Los Angeles, California",United States,Widowed,3,"Bachelor of Arts/Science, University of Southern California",85,1,,,,
128,Ronda Stryker,$7.4 B,69,Michigan,Medical equipment,3,HEALTHCARE,2,Medical equipment,"Portage, Michigan",United States,Married,3,"Bachelor of Arts/Science, University of Northern Colorado; Master of Arts, Western Michigan University",70,3,,,,
128,Randa Duncan Williams,$7.4 B,62,Texas,Pipelines,1,ENERGY,3,Pipelines,"Houston, Texas",United States,Married,1,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston",62,1,,,,
137,Arthur Dantchik,$7.3 B,65,Pennsylvania,"Trading, investments",2,FINANCE & INVESTMENTS,8,"Trading, investments, Self Made","Gladwyne, Pennsylvania",United States,Single,,"Bachelor of Science, SUNY Binghamton",66,2,,,,
137,John Overdeck,$7.3 B,53,New Jersey,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Millburn, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University",54,2,,,,
137,David Siegel,$7.3 B,62,New York,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Scarsdale, New York",United States,Married,,"Ph.D, Massachusetts Institute of Technology; Bachelor of Arts/Science, Princeton University",63,2,,,,
140,Bert Beveridge,$7.2 B,61,Texas,Vodka,1,FOOD & BEVERAGE,8,"Vodka, Self Made","Austin, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Texas at Austin",62,1,,,,
140,Stephen Bisciotti,$7.2 B,63,Florida,"Staffing, Baltimore Ravens",2,SPORTS,8,"Staffing, Baltimore Ravens, Self Made","Hobe Sound, Florida",United States,Married,2,"Bachelor of Arts/Science, Salisbury State University",64,2,,,,
140,Ray Lee Hunt,$7.2 B,80,Texas,"Oil, real estate",2,ENERGY,5,"Oil, real estate","Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Southern Methodist University",81,2,,,,
140,"Robert Rich, Jr.",$7.2 B,82,Florida,Frozen foods,1,FOOD & BEVERAGE,5,Frozen foods,"Islamorada, Florida",United States,Married,4,"Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College",83,1,,,,
144,Ken Fisher,$7.1 B,72,Texas,Money management,1,FINANCE & INVESTMENTS,8,"Money management, Self Made","Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Humboldt State University",73,1,,,,
145,Edythe Broad & family,$7 B,87,California,"Homebuilding, insurance",5,DIVERSIFIED,1,"Homebuilding, insurance","Los Angeles, California",United States,Widowed,2,,88,5,,,,
145,Dennis Washington,$7 B,89,Montana,"Construction, mining",3,LOGISTICS,10,"Construction, mining, Self Made","Missoula, Montana",United States,Married,2,"Diploma, High School",90,3,,,,
147,Micky Arison,$6.9 B,74,Florida,Carnival Cruises,2,SERVICE,5,Carnival Cruises,"Bal Harbour, Florida",United States,Married,2,"Drop Out, University of Miami",75,2,,,,
147,"Ernest Garcia, II.",$6.9 B,66,Arizona,Used cars,1,AUTOMOTIVE,9,"Used cars, Self Made","Tempe, Arizona",United States,Married,,"Drop Out, University of Arizona",67,1,,,,
147,Josh Harris,$6.9 B,58,Florida,Private equity,2,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Miami, Florida",United States,Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",59,2,,,,
147,Carl Icahn,$6.9 B,87,Florida,Investments,2,FINANCE & INVESTMENTS,9,"Investments, Self Made","Indian Creek, Florida",United States,Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University",88,2,,,,
147,Leo Koguan,$6.9 B,68,,IT provider,2,TECHNOLOGY,8,"IT provider, Self Made","Singapore, Singapore",United States,Divorced,1,"Master, Columbia University; Law Degree, New York Law School",69,2,,,,
147,Douglas Leone,$6.9 B,66,California,Venture capital,2,FINANCE & INVESTMENTS,9,"Venture capital, Self Made","Atherton, California",United States,Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management",67,2,,,,
153,Jonathan Gray,$6.8 B,53,New York,Investments,2,FINANCE & INVESTMENTS,6,"Investments, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",54,2,,,,
153,Terrence Pegula,$6.8 B,72,Florida,Natural gas,2,ENERGY,9,"Natural gas, Self Made","Boca Raton, Florida",United States,Married,5,"Bachelor of Science in Engineering, Pennsylvania State University",73,2,,,,
153,Reinhold Schmieding,$6.8 B,68,Florida,Medical devices,None,HEALTHCARE,8,"Medical devices, Self Made","Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, Michigan State University",69,,,,,
156,Mat Ishbia,$6.7 B,43,Michigan,Mortgage lender,1,FINANCE & INVESTMENTS,5,Mortgage lender,"Bloomfield Hills, Michigan",United States,Divorced,3,"Bachelor of Business Administration, Michigan State University",44,1,,,,
156,Jim Kennedy,$6.7 B,75,Georgia,"Media, automotive",3,MEDIA & ENTERTAINMENT,4,"Media, automotive","Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, University of Denver",76,3,,,,
156,Blair Parry-Okeden,$6.7 B,73,,"Media, automotive",2,MEDIA & ENTERTAINMENT,1,"Media, automotive","New South Wales, Australia",United States,Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver",74,2,,,,
156,Lynsi Snyder,$6.7 B,41,California,In-N-Out Burger,2,FOOD & BEVERAGE,3,In-N-Out Burger,"Glendora, California",United States,Married,,,42,2,,,,
156,George Soros,$6.7 B,93,New York,Hedge funds,5,FINANCE & INVESTMENTS,10,"Hedge funds, Self Made","Katonah, New York",United States,Married,5,"Bachelor of Arts/Science, London School of Economics",93,5,,,,
161,Vinod Khosla,$6.5 B,68,California,Venture capital,2,TECHNOLOGY,8,"Sun Microsystems, venture capital, Self Made","Portola Valley, California",United States,Married,4,"Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology; Master of Business Administration, Stanford Graduate School of Business",69,2,,,,
161,Annette Lerner & family,$6.5 B,93,Maryland,Real estate,1,REAL ESTATE,1,Real estate,"Chevy Chase, Maryland",United States,Widowed,3,,94,1,,,,
161,Michael Milken,$6.5 B,77,California,Investments,3,FINANCE & INVESTMENTS,8,"Investments, Self Made","Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",78,3,,,,
164,Li Ge,$6.4 B,56,,Pharmaceutical ingredients,None,HEALTHCARE,8,"Pharmaceutical ingredients, Self Made","Shanghai, China",United States,Widowed,,"Ph.D, Columbia University",57,,,,,
164,Pierre Omidyar,$6.4 B,56,Hawaii,"EBay, PayPal",5,TECHNOLOGY,8,"EBay, PayPal, Self Made","Honolulu, Hawaii",United States,Married,3,"Bachelor of Arts/Science, Tufts University",57,5,,,,
164,Charles Simonyi,$6.4 B,75,Washington,Microsoft,2,TECHNOLOGY,6,"Microsoft, Self Made","Medina, Washington",United States,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley",75,2,,,,
167,Neil Bluhm,$6.3 B,85,Illinois,Real estate,2,REAL ESTATE,10,"Real estate, Self Made","Chicago, Illinois",United States,Divorced,3,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",86,2,,,,
167,Don Vultaggio & family,$6.3 B,71,New York,Beverages,1,FOOD & BEVERAGE,10,"Beverages, Self Made","Port Washington, New York",United States,Married,2,"High School Graduate, High School",72,1,,,,
169,John Brown,$6.2 B,89,Georgia,Medical equipment,2,HEALTHCARE,6,"Medical equipment, Self Made","Atlanta, Georgia",United States,Married,2,"Bachelor of Science in Engineering, Auburn University",89,2,,,,
169,Stanley Druckenmiller,$6.2 B,70,New York,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, Bowdoin College",71,3,,,,
169,Daniel Ziff,$6.2 B,51,New York,Investments,1,FINANCE & INVESTMENTS,4,Investments,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Columbia University",52,1,,,,
169,Dirk Ziff,$6.2 B,59,Florida,Investments,1,FINANCE & INVESTMENTS,4,Investments,"North Palm Beach, Florida",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University",60,1,,,,
169,Robert Ziff,$6.2 B,57,New York,Investments,1,FINANCE & INVESTMENTS,4,Investments,"New York, New York",United States,Married,2,"Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University",57,1,,,,
174,Philippe Laffont,$6.1 B,56,New York,Hedge fund,1,FINANCE & INVESTMENTS,8,"Hedge fund, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",56,1,,,,
174,Paul Singer,$6.1 B,79,New York,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","New York, New York",United States,In Relationship,2,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester",79,2,,,,
176,Todd Boehly,$6 B,50,Connecticut,Finance,None,FINANCE & INVESTMENTS,7,"Finance, Self Made","Darien, Connecticut",United States,Married,3,"Bachelor of Business Administration, College of William & Mary",50,,,,,
176,William Goldring & family,$6 B,80,Louisiana,alcohol,None,FOOD & BEVERAGE,5,Liquor,"New Orleans, Louisiana",United States,,3,"Master of Arts, Tulane University",81,,,,,
176,Karen Pritzker,$6 B,65,Connecticut,"Hotels, investments",2,FINANCE & INVESTMENTS,3,"Hotels, investments","Branford, Connecticut",United States,Widowed,4,"Bachelor of Arts/Science, Northwestern University",66,2,,,,
176,Les Wexner & family,$6 B,86,Ohio,Retail,3,FASHION & RETAIL,8,"Retail, Self Made","New Albany, Ohio",United States,Married,4,"Bachelor of Arts/Science, Ohio State University",86,3,,,,
180,John A. Sobrato & family,$5.9 B,84,California,Real estate,4,REAL ESTATE,7,"Real estate, Self Made","Atherton, California",United States,Married,3,"Bachelor of Arts/Science, Santa Clara University",85,4,,,,
180,Peter Thiel,$5.9 B,55,California,"Facebook, investments",2,FINANCE & INVESTMENTS,8,"Facebook, investments, Self Made","Los Angeles, California",United States,Married,1,"Bachelor of Arts/Science, Stanford University; Doctor of Jurisprudence, Stanford University",56,2,,,,
182,Robert Faith,$5.8 B,60,South Carolina,Real estate management,1,REAL ESTATE,8,"Real estate management, Self Made","Charleston, South Carolina",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Science, University of Oklahoma",60,1,,,,
182,Denise York & family,$5.8 B,72,Ohio,San Francisco 49ers,1,SPORTS,3,San Francisco 49ers,"Youngstown, Ohio",United States,Married,4,,73,1,,,,
184,David Bonderman,$5.7 B,80,Texas,Private equity,2,FINANCE & INVESTMENTS,7,"Private equity, Self Made","Fort Worth, Texas",United States,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington",81,2,,,,
184,"Chase Coleman, III.",$5.7 B,48,New York,Investments,2,FINANCE & INVESTMENTS,7,"Investments, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, Williams College",49,2,,,,
184,Dan Friedkin,$5.7 B,58,Texas,Toyota dealerships,3,AUTOMOTIVE,4,Toyota dealerships,"Houston, Texas",United States,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University",59,3,,,,
184,Bill Haslam,$5.7 B,65,Tennessee,Gas stations,1,FASHION & RETAIL,3,Gas stations,"Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Emory University",65,1,,,,
184,Marc Rowan,$5.7 B,61,New York,Private equity,2,FINANCE & INVESTMENTS,8,"Private equity, Self Made","New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",61,2,,,,
184,Fred Smith,$5.7 B,79,Tennessee,FedEx,1,LOGISTICS,7,"FedEx, Self Made","Memphis, Tennessee",United States,Married,10,"Bachelor of Arts/Science, Yale University",79,1,,,,
184,Mark Walter,$5.7 B,63,Illinois,"Finance, asset management",2,FINANCE & INVESTMENTS,8,"Finance, asset management, Self Made","Chicago, Illinois",United States,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University",64,2,,,,
184,Ty Warner,$5.7 B,79,Illinois,"Plush toys, real estate",2,REAL ESTATE,10,"Plush toys, real estate, Self Made","Oak Brook, Illinois",United States,Single,,"Drop Out, Kalamazoo College",79,2,,,,
192,Scott Cook,$5.6 B,71,California,Software,3,TECHNOLOGY,8,"Software, Self Made","Woodside, California",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California",72,3,,,,
192,Tom Golisano,$5.6 B,81,Florida,Payroll services,2,SERVICE,9,"Payroll services, Self Made","Naples, Florida",United States,Married,2,"Associate in Arts/Science, SUNY Tech Alfred",82,2,,,,
192,Joe Mansueto,$5.6 B,67,Illinois,Investment research,2,FINANCE & INVESTMENTS,8,"Investment research, Self Made","Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Chicago",67,2,,,,
192,Janice McNair,$5.6 B,87,Texas,"Energy, sports",2,SPORTS,2,"Energy, sports","Houston, Texas",United States,Widowed,4,"Bachelor of Arts/Science, Columbia College",87,2,,,,
192,Thomas Pritzker,$5.6 B,73,Illinois,"Hotels, investments",2,FINANCE & INVESTMENTS,4,"Hotels, investments","Chicago, Illinois",United States,Married,3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago",74,2,,,,
192,Lynda Resnick,$5.6 B,80,California,Agriculture,3,FOOD & BEVERAGE,8,"Agriculture, Self Made","Beverly Hills, California",United States,Married,5,,81,3,,,,
192,Stewart Resnick,$5.6 B,86,California,Agriculture,3,FOOD & BEVERAGE,8,"Agriculture, Self Made","Beverly Hills, California",United States,Married,5,,87,3,,,,
192,Gary Rollins,$5.6 B,79,Georgia,Pest control,2,SERVICE,3,Pest control,"Atlanta, Georgia",United States,Divorced,4,"Bachelor of Arts/Science, University of Tennessee Chattanooga",79,2,,,,
192,Kelcy Warren,$5.6 B,67,Texas,Pipelines,2,ENERGY,9,"Pipelines, Self Made","Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",68,2,,,,
201,Gwendolyn Sontheim Meyer,$5.5 B,61,California,Cargill,1,FOOD & BEVERAGE,1,Cargill,"Rancho Santa Fe, California",United States,Divorced,2,,62,1,,,,
201,Mark Stevens,$5.5 B,63,Colorado,Venture capital,2,FINANCE & INVESTMENTS,9,"Venture capital, Self Made","Steamboat Springs, Colorado",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",64,2,,,,
203,"Robert Hale, Jr.",$5.4 B,57,Massachusetts,Telecom,3,TELECOM,8,"Telecom, Self Made","Boston, Massachusetts",United States,Married,,"Bachelor of Arts/Science, Connecticut College",58,3,,,,
204,Robert Bass,$5.3 B,75,Texas,"Oil, investments",2,ENERGY,4,"Oil, investments","Fort Worth, Texas",United States,Married,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",76,2,,,,
204,Gayle Benson,$5.3 B,76,Louisiana,New Orleans Saints,2,SPORTS,1,New Orleans Saints,"New Orleans, Louisiana",United States,Widowed,,"High School Graduate, High School",77,2,,,,
204,Rick Caruso,$5.3 B,64,California,Real estate,2,REAL ESTATE,7,"Real estate, Self Made","Los Angeles, California",United States,Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California",65,2,,,,
204,Thai Lee,$5.3 B,64,Texas,IT provider,1,TECHNOLOGY,9,"IT provider, Self Made","Austin, Texas",United States,Divorced,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School",65,1,,,,
204,Doug Meijer & family,$5.3 B,69,Michigan,Supermarkets,2,FASHION & RETAIL,3,Supermarkets,"Grand Rapids, Michigan",United States,Divorced,1,,70,2,,,,
204,Hank Meijer & family,$5.3 B,71,Michigan,Supermarkets,2,FASHION & RETAIL,3,Supermarkets,"Grand Rapids, Michigan",United States,Married,3,,72,2,,,,
204,Mark Meijer & family,$5.3 B,65,Michigan,Supermarkets,2,FASHION & RETAIL,3,Supermarkets,"Grand Rapids, Michigan",United States,,,,66,2,,,,
211,Mark Cuban,$5.2 B,65,Texas,"Online media, Dallas Mavericks",1,MEDIA & ENTERTAINMENT,8,"Online media, Dallas Mavericks, Self Made","Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Indiana University",66,1,,,,
211,Dagmar Dolby & family,$5.2 B,82,California,Dolby Laboratories,3,TECHNOLOGY,1,Dolby Laboratories,"San Francisco, California",United States,Widowed,2,"Bachelor of Arts/Science, Heidelberg University",83,3,,,,
211,Archie Aldis Emmerson & family,$5.2 B,94,California,"Timberland, lumber mills",2,MANUFACTURING,9,"Timberland, lumber mills, Self Made","Redding, California",United States,Married,3,"Diploma, High School",95,2,,,,
211,Thomas Hagen,$5.2 B,87,Pennsylvania,Insurance,2,FINANCE & INVESTMENTS,2,Insurance,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University",88,2,,,,
215,Ron Baron,$5.1 B,80,New York,Money management,1,FINANCE & INVESTMENTS,8,"Money management, Self Made","New York, New York",United States,Married,2,"Bachelor of Arts/Science, Bucknell University",81,1,,,,
215,Jim Davis & family,$5.1 B,80,Massachusetts,New Balance,2,MANUFACTURING,8,"New Balance, Self Made","Newton, Massachusetts",United States,Married,2,"Bachelor of Arts/Science, Middlebury College",81,2,,,,
215,John Henry,$5.1 B,74,Florida,Sports,1,SPORTS,7,"Sports, Self Made","Boca Raton, Florida",United States,Married,2,,74,1,,,,
215,Charles B. Johnson,$5.1 B,90,Florida,Franklin Templeton,3,FINANCE & INVESTMENTS,5,Franklin Templeton,"Palm Beach, Florida",United States,Married,6,"Bachelor of Arts/Science, Yale University",91,3,,,,
215,Joseph Liemandt,$5.1 B,55,Texas,Software,None,TECHNOLOGY,7,"Software, Self Made","Austin, Texas",United States,Single,,"Drop Out, Stanford University",55,,,,,
215,Sami Mnaymneh,$5.1 B,62,Florida,Private equity,1,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Miami Beach, Florida",United States,,,"Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University",63,1,,,,
215,Michael Moritz,$5.1 B,69,California,Venture capital,4,TECHNOLOGY,8,"Venture capital, Self Made","San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, University of Pennsylvania, The Wharton School",69,4,,,,
215,Tony Tamer,$5.1 B,65,New York,Private equity,None,FINANCE & INVESTMENTS,8,"Private equity, Self Made","New York, New York",United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Rutgers University; Master of Science in Engineering, Stanford University",66,,,,,
215,Romesh T. Wadhwani,$5.1 B,76,California,Software,2,TECHNOLOGY,8,"Software, Self Made","Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",76,2,,,,
224,"Austen Cargill, II.",$5 B,72,Montana,Cargill,1,FOOD & BEVERAGE,1,Cargill,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",73,1,,,,
224,"James Cargill, II.",$5 B,74,Wisconsin,Cargill,1,FOOD & BEVERAGE,1,Cargill,"Birchwood, Wisconsin",United States,Married,2,,75,1,,,,
224,Marianne Liebmann,$5 B,70,Montana,Cargill,1,FOOD & BEVERAGE,1,Cargill,"Bozeman, Montana",United States,Married,2,"Bachelor of Arts/Science, Montana State University",71,1,,,,
227,Margot Birmingham Perot,$4.9 B,89,Texas,"Computer services, real estate",2,TECHNOLOGY,1,"Computer services, real estate","Dallas, Texas",United States,Widowed,5,"Bachelor of Arts/Science, Goucher College",90,2,,,,
227,W. Herbert Hunt,$4.9 B,94,Texas,Oil,1,ENERGY,4,Oil,,United States,,5,"Bachelor of Arts/Science, Washington & Lee University",,1,,,,
227,Helen Johnson-Leipold,$4.9 B,66,Wisconsin,Cleaning products,2,MANUFACTURING,3,Cleaning products,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University",67,2,,,,
227,Dan Kurzius,$4.9 B,51,Georgia,Email marketing,None,TECHNOLOGY,9,"Email marketing, Self Made","Atlanta, Georgia",United States,Married,2,"High School Graduate, High School",52,,,,,
227,George Lucas,$4.9 B,79,California,Star Wars,4,MEDIA & ENTERTAINMENT,8,"Star Wars, Self Made","San Anselmo, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California",80,4,,,,
227,Trevor Rees-Jones,$4.9 B,72,Texas,Oil & gas,4,ENERGY,7,"Oil & gas, Self Made","Dallas, Texas",United States,Married,2,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",72,4,,,,
227,Thomas Secunda,$4.9 B,69,New York,Bloomberg LP,2,FINANCE & INVESTMENTS,8,"Bloomberg LP, Self Made","Croton-on-Hudson, New York",United States,Married,2,"Bachelor of Arts/Science, SUNY Binghamton",70,2,,,,
227,Patrick Soon-Shiong,$4.9 B,71,California,Pharmaceuticals,2,HEALTHCARE,9,"Pharmaceuticals, Self Made","Los Angeles, California",United States,Married,2,"Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand",72,2,,,,
227,Elizabeth Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING,7,"Packaging materials, Self Made","Lake Forest, Illinois",United States,Married,3,,79,2,,,,
227,Richard Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING,7,"Packaging materials, Self Made","Lake Forest, Illinois",United States,Married,3,"Bachelor of Arts/Science, Stanford University",78,2,,,,
227,Ronald Wanek,$4.9 B,82,Florida,Furniture,2,MANUFACTURING,9,"Furniture, Self Made","Saint Petersburg, Florida",United States,Married,3,"High School Graduate, High School",83,2,,,,
238,H. Fisk Johnson,$4.8 B,65,Wisconsin,Cleaning products,2,MANUFACTURING,3,Cleaning products,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",66,2,,,,
238,S. Curtis Johnson,$4.8 B,68,Wisconsin,Cleaning products,2,MANUFACTURING,1,Cleaning products,"Racine, Wisconsin",United States,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",69,2,,,,
238,Winifred J. Marquart,$4.8 B,64,Virginia,Cleaning products,2,MANUFACTURING,2,Cleaning products,"Virginia Beach, Virginia",United States,Married,4,"Drop Out, Cornell University",65,2,,,,
238,Arturo Moreno,$4.8 B,77,Arizona,"Billboards, Los Angeles Angels",2,SPORTS,8,"Billboards, Los Angeles Angels, Self Made","Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona",77,2,,,,
238,Steven Spielberg,$4.8 B,76,California,Movies,3,MEDIA & ENTERTAINMENT,8,"Movies, Self Made","Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach",77,3,,,,
238,Russ Weiner,$4.8 B,53,Florida,Energy drinks,1,FOOD & BEVERAGE,8,"Energy drinks, Self Made","Delray Beach, Florida",United States,Single,,"Bachelor of Arts/Science, San Diego State University",54,1,,,,
244,Charles Dolan & family,$4.7 B,96,New York,Cable television,2,MEDIA & ENTERTAINMENT,9,"Cable television, Self Made","Oyster Bay, New York",United States,Widowed,6,"Drop Out, John Carroll University",97,2,,,,
244,Jim Kavanaugh,$4.7 B,60,Missouri,IT provider,1,TECHNOLOGY,9,"IT provider, Self Made","St. Louis, Missouri",United States,,,"Bachelor of Arts/Science, St. Louis University",61,1,,,,
244,Ronald Lauder,$4.7 B,79,New York,Estee Lauder,3,FASHION & RETAIL,5,Estee Lauder,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",80,3,,,,
244,Mitchell Rales,$4.7 B,67,Maryland,"Manufacturing, investments",2,MANUFACTURING,7,"Manufacturing, investments, Self Made","Potomac, Maryland",United States,Married,2,"Bachelor of Arts/Science, Miami University of Ohio",67,2,,,,
244,Jon Stryker,$4.7 B,65,New York,Medical equipment,4,HEALTHCARE,1,Medical equipment,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Kalamazoo College; Master of Architecture, University of California, Berkeley",66,4,,,,
