RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
128,Milane Frantz,$7.4 B,54,Texas,Pipelines,1,ENERGY,Pipelines,54,1,1,1,,1,54,Pipelines,,,,
128,Don Hankey,$7.4 B,80,California,Auto loans,1,FINANCE & INVESTMENTS,"Auto loans, Self Made",81,7,7,1,1,"Malibu, California",81,"Auto loans, Self Made",,,,
128,Ken Langone,$7.4 B,88,New York,Investments,3,FINANCE & INVESTMENTS,"Investments, Self Made",88,9,9,3,3,"Sands Point, New York",88,"Investments, Self Made",,,,
128,"Edward Roski, Jr.",$7.4 B,84,California,Real estate,1,REAL ESTATE,Real estate,85,5,5,1,1,"Los Angeles, California",85,Real estate,,,,
128,Ronda Stryker,$7.4 B,69,Michigan,Medical equipment,3,HEALTHCARE,Medical equipment,70,2,2,3,3,"Portage, Michigan",70,Medical equipment,,,,
128,Randa Duncan Williams,$7.4 B,62,Texas,Pipelines,1,ENERGY,Pipelines,62,3,3,1,1,"Houston, Texas",62,Pipelines,,,,
137,Arthur Dantchik,$7.3 B,65,Pennsylvania,"Trading, investments",2,FINANCE & INVESTMENTS,"Trading, investments, Self Made",66,8,8,2,,2,66,"Trading, investments, Self Made",,,,
137,John Overdeck,$7.3 B,53,New Jersey,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",54,8,8,2,2,"Millburn, New Jersey",54,"Hedge funds, Self Made",,,,
137,David Siegel,$7.3 B,62,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",63,8,8,2,,2,63,"Hedge funds, Self Made",,,,
140,Bert Beveridge,$7.2 B,61,Texas,Vodka,1,FOOD & BEVERAGE,"Vodka, Self Made",62,8,8,1,1,"Austin, Texas",62,"Vodka, Self Made",,,,
140,Stephen Bisciotti,$7.2 B,63,Florida,"Staffing, Baltimore Ravens",2,SPORTS,"Staffing, Baltimore Ravens, Self Made",64,8,8,2,2,"Hobe Sound, Florida",64,"Staffing, Baltimore Ravens, Self Made",,,,
140,Ray Lee Hunt,$7.2 B,80,Texas,"Oil, real estate",2,ENERGY,"Oil, real estate",81,5,5,2,2,"Dallas, Texas",81,"Oil, real estate",,,,
140,"Robert Rich, Jr.",$7.2 B,82,Florida,Frozen foods,1,FOOD & BEVERAGE,Frozen foods,83,5,5,1,1,"Islamorada, Florida",83,Frozen foods,,,,
144,Ken Fisher,$7.1 B,72,Texas,Money management,1,FINANCE & INVESTMENTS,"Money management, Self Made",73,8,8,1,1,"Dallas, Texas",73,"Money management, Self Made",,,,
145,Edythe Broad & family,$7 B,87,California,"Homebuilding, insurance",5,DIVERSIFIED,"Homebuilding, insurance",88,1,1,5,5,,88,"Homebuilding, insurance",,,,
